Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;51585;3332;119;234;193;116;910;2643;2233;5268;662;11054;12760;303.0;1403.0;482.0;229.0
2024;53611;3451;152;208;176;116;1162;2349;2036;5268;652;10815;12582;314.0;1453.0;601.0;258.0
2025;55935;3439;88;193;139;99;673;2180;1608;4496;519;8957;10733;328.0;1448.0;293.0;148.0
2026;57429;3502;85;185;145;120;650;2089;1677;5450;535;9866;11677;337.0;1474.0;289.0;150.0
2027;59735;3671;101;174;123;91;772;1965;1423;4133;489;8293;10189;350.0;1546.0;413.0;161.0
2028;60856;3814;85;206;123;94;650;2326;1423;4269;508;8668;10631;357.0;1606.0;380.0;142.0
2029;62575;3777;96;197;134;103;734;2225;1550;4678;530;9187;11144;367.0;1590.0;316.0;147.0
2030;63059;3982;97;214;157;106;742;2417;1816;4814;574;9789;11835;370.0;1676.0;338.0;167.0
2031;65006;3980;86;219;175;103;658;2473;2024;4678;583;9833;11890;381.0;1676.0;308.0;148.0
2032;65116;4003;89;217;178;126;681;2451;2059;5722;610;10913;12980;382.0;1685.0;294.0;160.0
2033;66118;4131;90;229;147;106;688;2586;1700;4814;572;9788;11915;388.0;1739.0;216.0;139.0
2034;66379;4077;102;195;184;131;780;2202;2128;5949;612;11059;13164;389.0;1716.0;355.0;169.0
2035;66580;4080;94;234;142;107;719;2643;1643;4859;577;9864;11972;390.0;1718.0;389.0;158.0
2036;66004;3980;90;217;166;111;688;2451;1920;5041;584;10100;12163;387.0;1676.0;315.0;147.0
2037;66078;4119;91;235;157;105;696;2654;1816;4768;588;9934;12056;388.0;1734.0;314.0;152.0
2038;65261;4028;104;237;161;117;795;2676;1862;5313;619;10646;12725;383.0;1696.0;416.0;161.0
2039;65506;4052;101;238;172;110;772;2688;1990;4996;621;10446;12536;384.0;1706.0;350.0;153.0
2040;65607;3992;90;242;188;121;688;2733;2175;5495;641;11091;13157;385.0;1681.0;356.0;181.0
2041;66285;4051;115;255;162;118;879;2880;1874;5359;650;10992;13086;389.0;1705.0;428.0;183.0
2042;67176;4021;103;224;164;111;788;2530;1897;5041;602;10256;12343;394.0;1693.0;340.0;165.0
