Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;13330;838;0;309296;5149;125349;519;7425;433.0;519.0;267.0;275.0;283.0;127.0;1332.0;519.0
2024;1135324;14524;1224;0;315831;4197;128039;567;7565;341.0;567.0;310.0;234.0;245.0;119.0;1449.0;567.0
2025;1148624;13952;2076;0;321257;3749;130530;324;7655;266.0;324.0;183.0;176.0;145.0;86.0;806.0;324.0
2026;1160500;13391;3042;0;326566;3663;132359;286;7715;259.0;286.0;153.0;155.0;145.0;92.0;641.0;286.0
2027;1170849;14384;3968;0;331591;3617;134787;300;7813;226.0;300.0;154.0;144.0;147.0;81.0;601.0;300.0
2028;1181265;13901;4913;0;336513;3651;136409;316;8072;244.0;316.0;159.0;163.0;151.0;87.0;740.0;316.0
2029;1190253;13480;5839;0;341992;3614;138756;314;8158;224.0;314.0;163.0;157.0;141.0;77.0;687.0;314.0
2030;1197894;13440;6524;0;347660;3624;140898;336;8194;261.0;336.0;178.0;164.0;172.0;83.0;740.0;336.0
2031;1204810;14660;6879;0;353193;3569;143373;306;8350;284.0;306.0;163.0;170.0;170.0;87.0;716.0;306.0
2032;1212591;13202;7273;0;357167;3508;145389;327;8611;285.0;327.0;163.0;182.0;180.0;87.0;799.0;327.0
2033;1218520;14050;7747;0;360483;3437;146579;313;8615;263.0;313.0;161.0;189.0;143.0;83.0;670.0;313.0
2034;1224823;15101;8264;0;363676;3384;148040;309;8710;285.0;309.0;164.0;172.0;157.0;101.0;753.0;309.0
2035;1231660;13693;9108;0;366827;3367;149138;294;8810;253.0;294.0;137.0;169.0;158.0;83.0;489.0;294.0
2036;1236245;14420;10063;0;370405;3388;150610;335;8783;287.0;335.0;172.0;174.0;182.0;94.0;705.0;335.0
2037;1240602;12874;10951;0;374527;3314;151942;296;9085;280.0;296.0;161.0;180.0;162.0;73.0;678.0;296.0
2038;1242525;13222;11498;0;379202;3285;153886;340;9049;292.0;340.0;184.0;197.0;166.0;85.0;869.0;340.0
2039;1244249;13998;12150;0;384475;3233;155798;336;9182;307.0;336.0;187.0;178.0;187.0;91.0;784.0;336.0
2040;1246097;14793;12725;0;389727;3215;158218;343;9371;309.0;343.0;152.0;201.0;194.0;105.0;585.0;343.0
2041;1248165;14361;12836;0;395092;3197;159983;357;9460;288.0;357.0;174.0;189.0;197.0;85.0;800.0;357.0
2042;1249690;13720;13347;0;400303;3128;162733;332;9363;271.0;332.0;182.0;164.0;166.0;91.0;762.0;332.0
2043;1250063;12069;13379;0;405769;3119;164161;359;9707;294.0;359.0;172.0;213.0;193.0;75.0;821.0;359.0
2044;1248753;13726;13684;0;411086;3083;167238;357;9763;327.0;357.0;194.0;205.0;196.0;89.0;794.0;357.0
2045;1248795;15167;14187;0;416415;2995;168419;328;9845;325.0;328.0;169.0;195.0;178.0;111.0;683.0;328.0
2046;1249775;14405;14608;0;421341;2902;171603;354;9988;291.0;354.0;190.0;177.0;193.0;85.0;845.0;354.0
2047;1249572;14515;15009;0;425160;2904;172160;354;9860;266.0;354.0;179.0;165.0;195.0;81.0;869.0;354.0
2048;1249078;13566;15223;0;429430;2886;174800;357;10263;294.0;357.0;179.0;172.0;195.0;105.0;657.0;357.0
2049;1247421;14723;15526;0;433010;2864;175767;401;10029;330.0;401.0;202.0;233.0;221.0;75.0;867.0;401.0
2050;1246618;13425;15646;0;436944;2807;177533;371;10355;284.0;371.0;191.0;190.0;184.0;90.0;914.0;371.0
2051;1244397;14385;15865;0;440860;2794;178935;348;10386;306.0;348.0;158.0;195.0;197.0;104.0;710.0;348.0
2052;1242917;15780;15348;0;444370;2798;180511;376;10399;322.0;376.0;196.0;189.0;213.0;100.0;864.0;376.0
2053;1243349;13965;15063;0;447182;2715;181794;346;10541;300.0;346.0;178.0;185.0;190.0;93.0;666.0;346.0
2054;1242251;13728;14965;0;448878;2747;182732;403;10592;338.0;403.0;225.0;213.0;204.0;99.0;1002.0;403.0
2055;1241014;15273;14538;0;449989;2691;183159;387;10795;352.0;387.0;192.0;199.0;233.0;115.0;896.0;387.0
2056;1241749;13929;14450;0;450609;2622;183404;365;10680;323.0;365.0;226.0;193.0;164.0;105.0;1001.0;365.0
2057;1241228;14098;14183;0;450708;2593;183626;413;10815;299.0;413.0;218.0;195.0;191.0;108.0;855.0;413.0
2058;1241143;14329;13930;0;452188;2583;183369;413;10817;332.0;413.0;229.0;200.0;212.0;104.0;926.0;413.0
2059;1241542;14003;14108;0;453628;2519;184981;369;10839;350.0;369.0;202.0;210.0;201.0;106.0;827.0;369.0
2060;1241437;13253;14484;0;454427;2432;184489;407;10762;315.0;407.0;200.0;214.0;201.0;107.0;800.0;407.0
2061;1240206;14026;14542;0;455305;2429;185526;401;10743;304.0;401.0;209.0;185.0;219.0;92.0;944.0;401.0
2062;1239690;14223;14784;0;454555;2404;185055;377;10926;318.0;377.0;201.0;199.0;185.0;110.0;810.0;377.0
2063;1239129;14375;15236;0;452962;2390;184907;396;10913;343.0;396.0;205.0;221.0;208.0;105.0;834.0;396.0
2064;1238268;13244;15585;0;450742;2334;183745;404;10833;322.0;404.0;196.0;219.0;207.0;104.0;839.0;404.0
2065;1235927;13048;15854;0;447117;2318;183104;413;10775;305.0;413.0;205.0;222.0;195.0;96.0;777.0;413.0
2066;1233121;14365;16014;0;443309;2278;180893;347;10730;291.0;347.0;187.0;193.0;178.0;80.0;836.0;347.0
2067;1231472;13735;16607;0;440878;2357;179956;370;10484;320.0;370.0;202.0;193.0;202.0;93.0;786.0;370.0
2068;1228600;14387;16426;0;438760;2361;178949;395;10611;348.0;395.0;203.0;220.0;202.0;118.0;811.0;395.0
2069;1226561;14663;16590;0;434587;2325;178237;379;10718;330.0;379.0;190.0;214.0;208.0;97.0;836.0;379.0
2070;1224634;13787;16995;0;429826;2292;175563;398;10342;324.0;398.0;213.0;188.0;217.0;104.0;865.0;398.0
2071;1221426;15215;16952;0;425792;2255;174382;351;10252;334.0;351.0;201.0;195.0;191.0;98.0;782.0;351.0
2072;1219689;13072;17074;0;420132;2229;172230;345;10058;359.0;345.0;182.0;214.0;213.0;95.0;749.0;345.0
2073;1215687;12921;17152;0;415626;2178;169748;331;10000;361.0;331.0;170.0;228.0;185.0;109.0;753.0;331.0
2074;1211456;14158;17412;0;411722;2147;168630;316;9926;341.0;316.0;170.0;221.0;174.0;92.0;736.0;316.0
2075;1208202;13717;17410;0;408322;2099;166597;356;9834;329.0;356.0;173.0;206.0;212.0;94.0;662.0;356.0
2076;1204509;12700;17457;0;404588;2089;165909;334;9760;303.0;334.0;168.0;201.0;185.0;83.0;791.0;334.0
2077;1199752;14023;17572;0;402517;2144;163555;359;9630;339.0;359.0;189.0;215.0;195.0;99.0;626.0;359.0
2078;1196203;12613;17841;0;400132;2090;164417;334;9649;332.0;334.0;182.0;206.0;195.0;83.0;779.0;334.0
2079;1190975;13440;17533;0;398113;2087;161503;310;9394;319.0;310.0;164.0;207.0;179.0;79.0;615.0;310.0
2080;1186882;12975;17407;0;396420;2126;162777;323;9555;320.0;323.0;174.0;210.0;162.0;97.0;679.0;323.0
2081;1182450;13691;17544;0;394646;2110;160075;344;9395;340.0;344.0;191.0;206.0;199.0;88.0;843.0;344.0
2082;1178597;15023;17537;0;391593;2074;161331;331;9504;307.0;331.0;170.0;179.0;190.0;99.0;707.0;331.0
2083;1176083;13586;17272;0;388806;2089;157593;342;9310;334.0;342.0;185.0;229.0;170.0;92.0;705.0;342.0
2084;1172397;14074;16845;0;386250;2091;158994;311;9378;338.0;311.0;165.0;207.0;192.0;85.0;677.0;311.0
2085;1169626;13110;16862;0;382200;2126;155566;348;9110;332.0;348.0;183.0;214.0;183.0;100.0;786.0;348.0
2086;1165874;13556;16500;0;379182;2079;155694;314;9080;324.0;314.0;173.0;205.0;162.0;98.0;759.0;314.0
2087;1162930;13418;16198;0;374919;2052;153148;303;9003;331.0;303.0;165.0;197.0;183.0;89.0;681.0;303.0
2088;1160150;14924;16252;0;372153;2039;152148;350;8782;317.0;350.0;216.0;186.0;182.0;83.0;858.0;350.0
2089;1158822;13551;16102;0;368907;2012;150963;328;8776;336.0;328.0;190.0;193.0;181.0;100.0;753.0;328.0
2090;1156271;12711;15965;0;366043;1949;149480;299;8650;325.0;299.0;168.0;184.0;177.0;95.0;756.0;299.0
2091;1153017;13619;15571;0;364478;1968;148730;308;8610;294.0;308.0;152.0;168.0;194.0;88.0;666.0;308.0
2092;1151065;13133;15697;0;362953;1992;148191;312;8688;333.0;312.0;160.0;203.0;185.0;97.0;684.0;312.0
2093;1148501;13947;15717;0;359639;1984;147627;306;8620;285.0;306.0;164.0;159.0;178.0;90.0;683.0;306.0
2094;1146731;13237;15423;0;357046;1986;145385;286;8416;296.0;286.0;164.0;187.0;159.0;72.0;660.0;286.0
2095;1144545;12901;15312;0;356845;2038;145602;310;8508;317.0;310.0;165.0;201.0;179.0;82.0;667.0;310.0
2096;1142134;14916;15397;0;356962;2007;145371;304;8465;328.0;304.0;155.0;214.0;189.0;74.0;627.0;304.0
2097;1141653;13553;15203;0;357301;2004;145715;293;8488;330.0;293.0;152.0;202.0;179.0;90.0;583.0;293.0
2098;1140003;14028;15103;0;358038;1962;145525;292;8588;303.0;292.0;150.0;185.0;167.0;93.0;647.0;292.0
2099;1138928;14451;15068;0;358676;1965;146449;303;8653;341.0;303.0;166.0;176.0;202.0;100.0;694.0;303.0
2100;1138311;14602;14859;0;358164;1897;146132;275;8426;292.0;275.0;166.0;171.0;147.0;83.0;667.0;275.0
2101;1138054;13429;14944;0;358111;1930;145989;285;8538;332.0;285.0;145.0;219.0;189.0;64.0;587.0;285.0
2102;1136539;14225;14469;0;359614;1929;146103;295;8478;315.0;295.0;158.0;195.0;163.0;94.0;709.0;295.0
2103;1136295;13676;14648;0;359018;1961;147266;345;8566;291.0;345.0;180.0;180.0;189.0;87.0;640.0;345.0
2104;1135323;14356;14377;0;359188;1942;145429;305;8591;274.0;305.0;159.0;175.0;164.0;81.0;656.0;305.0
2105;1135302;14496;14249;0;359958;1955;147467;281;8650;311.0;281.0;146.0;195.0;166.0;85.0;573.0;281.0
2106;1135549;14122;14042;0;359687;1946;146094;302;8524;323.0;302.0;137.0;202.0;200.0;86.0;644.0;302.0
2107;1135629;13516;13982;0;359142;1952;147108;283;8582;297.0;283.0;153.0;183.0;151.0;93.0;587.0;283.0
2108;1135163;14765;13780;0;359511;1933;145660;286;8413;304.0;286.0;163.0;192.0;163.0;72.0;723.0;286.0
2109;1136148;13722;13709;0;359870;1971;147327;302;8573;321.0;302.0;163.0;206.0;175.0;79.0;703.0;302.0
2110;1136161;14791;13607;0;358368;1927;145929;315;8439;319.0;315.0;177.0;182.0;189.0;86.0;672.0;315.0
2111;1137345;13858;13692;0;358999;1912;146033;303;8650;304.0;303.0;169.0;202.0;151.0;85.0;686.0;303.0
2112;1137511;12687;13365;0;358873;1904;146464;326;8626;305.0;326.0;179.0;193.0;163.0;96.0;705.0;326.0
2113;1136833;14229;13391;0;359812;1877;145957;288;8547;301.0;288.0;154.0;188.0;168.0;79.0;612.0;288.0
