Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;13704;802;0;309296;5142;171393;689;10073;433.0;689.0;382.0;285.0;309.0;146.0;1835.0;689.0
2024;1135734;13738;1243;0;315832;4020;176296;709;10419;322.0;709.0;355.0;259.0;285.0;132.0;1720.0;709.0
2025;1148229;13269;2049;0;321257;3480;180757;378;10578;219.0;378.0;205.0;162.0;157.0;73.0;851.0;378.0
2026;1159449;13488;2956;0;326567;3376;186049;379;10855;208.0;379.0;203.0;135.0;160.0;89.0;917.0;379.0
2027;1169981;13298;4021;0;331596;3297;190884;373;11164;179.0;373.0;194.0;138.0;148.0;72.0;913.0;373.0
2028;1179258;14587;4939;0;336516;3282;195047;385;11494;185.0;385.0;171.0;141.0;168.0;90.0;779.0;385.0
2029;1188906;14815;5924;0;341994;3254;199518;373;11747;176.0;373.0;187.0;151.0;146.0;65.0;882.0;373.0
2030;1197797;13284;6520;0;347665;3223;203588;360;11873;198.0;360.0;183.0;141.0;171.0;63.0;838.0;360.0
2031;1204561;13671;6818;0;353190;3220;208180;410;12221;221.0;410.0;203.0;177.0;170.0;81.0;840.0;410.0
2032;1211414;14006;7270;0;357145;3123;212540;379;12540;221.0;379.0;192.0;144.0;187.0;77.0;817.0;379.0
2033;1218150;13807;7679;0;360484;3051;217709;382;12690;204.0;382.0;206.0;156.0;150.0;74.0;907.0;382.0
2034;1224278;14728;8383;0;363661;2990;222245;387;13047;216.0;387.0;188.0;157.0;171.0;87.0;783.0;387.0
2035;1230623;14069;9237;0;366826;2974;227017;436;13347;185.0;436.0;211.0;152.0;180.0;78.0;920.0;436.0
2036;1235455;13517;9992;0;370399;2920;231185;377;13562;220.0;377.0;189.0;162.0;174.0;72.0;861.0;377.0
2037;1238980;13181;10851;0;374537;2849;235186;421;14036;208.0;421.0;213.0;175.0;171.0;70.0;985.0;421.0
2038;1241310;15196;11409;0;379222;2799;238788;413;13884;218.0;413.0;217.0;167.0;179.0;68.0;978.0;413.0
2039;1245097;13675;12115;0;384506;2754;242334;428;14225;218.0;428.0;208.0;151.0;188.0;99.0;853.0;428.0
2040;1246657;13393;12345;0;389772;2719;244777;440;14453;214.0;440.0;211.0;147.0;206.0;90.0;849.0;440.0
2041;1247705;14020;12807;0;395171;2687;247891;442;14652;204.0;442.0;232.0;140.0;196.0;78.0;884.0;442.0
2042;1248918;13982;13156;0;400384;2617;249724;442;14425;194.0;442.0;229.0;161.0;169.0;77.0;984.0;442.0
2043;1249744;13925;13682;0;405800;2569;251867;437;14789;202.0;437.0;229.0;158.0;186.0;66.0;1043.0;437.0
2044;1249987;14850;13842;0;411083;2546;253202;426;14911;228.0;426.0;212.0;179.0;189.0;74.0;961.0;426.0
2045;1250995;15213;14163;0;416358;2477;254442;444;14992;231.0;444.0;251.0;170.0;174.0;80.0;1118.0;444.0
2046;1252045;14378;14781;0;421316;2395;255319;431;14612;187.0;431.0;207.0;142.0;201.0;68.0;953.0;431.0
2047;1251642;14308;14990;0;425082;2402;255603;424;14715;204.0;424.0;214.0;137.0;202.0;75.0;831.0;424.0
2048;1250960;15029;15462;0;429192;2395;255983;454;15025;199.0;454.0;213.0;173.0;188.0;79.0;979.0;454.0
