Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;14456;863;0;309296;5158;68680;300;4095;433.0;300.0;150.0;243.0;220.0;120.0;597.0;300.0
2024;1136425;15299;1224;0;315832;4426;71572;328;4270;380.0;328.0;189.0;217.0;185.0;117.0;728.0;328.0
2025;1150500;14362;1999;0;321258;4178;74481;218;4335;345.0;218.0;125.0;201.0;139.0;98.0;454.0;218.0
2026;1162863;13720;2994;0;326569;4110;76713;197;4455;346.0;197.0;106.0;166.0;158.0;113.0;378.0;197.0
2027;1173589;14189;4063;0;331597;4088;79555;201;4637;299.0;201.0;113.0;161.0;142.0;84.0;464.0;201.0
2028;1183715;14011;5001;0;336515;4127;81317;190;4865;310.0;190.0;92.0;181.0;134.0;93.0;353.0;190.0
2029;1192725;14084;5881;0;341995;4158;83305;206;4915;328.0;206.0;124.0;174.0;137.0;99.0;402.0;206.0
2030;1200928;14101;6600;0;347655;4167;84362;216;5006;364.0;216.0;113.0;200.0;160.0;107.0;424.0;216.0
2031;1208429;14167;6953;0;353194;4132;86533;205;5098;395.0;205.0;106.0;206.0;188.0;100.0;398.0;205.0
2032;1215643;13232;7212;0;357133;4049;87057;211;5136;401.0;211.0;110.0;202.0;182.0;118.0;411.0;211.0
2033;1221663;14477;7817;0;360482;3970;88196;209;5258;376.0;209.0;126.0;201.0;150.0;108.0;420.0;209.0
2034;1228323;14970;8293;0;363636;3920;88707;243;5169;384.0;243.0;135.0;188.0;187.0;117.0;569.0;243.0
2035;1235000;13190;9187;0;366794;3864;88818;194;5259;361.0;194.0;101.0;218.0;139.0;97.0;410.0;194.0
2036;1239003;14500;10009;0;370326;3867;88269;216;5157;387.0;216.0;115.0;210.0;173.0;105.0;477.0;216.0
2037;1243494;13861;10979;0;374426;3820;88125;196;5279;385.0;196.0;120.0;216.0;157.0;88.0;429.0;196.0
2038;1246376;12725;11369;0;379066;3810;87274;208;5168;391.0;208.0;129.0;220.0;157.0;93.0;508.0;208.0
2039;1247732;14221;12082;0;384357;3803;87431;216;5194;406.0;216.0;120.0;221.0;178.0;103.0;440.0;216.0
2040;1249871;15641;12257;0;389561;3798;87703;223;5173;411.0;223.0;116.0;233.0;171.0;114.0;463.0;223.0
2041;1253255;13810;12759;0;394913;3779;88543;229;5215;416.0;229.0;130.0;229.0;177.0;109.0;503.0;229.0
2042;1254306;14674;13356;0;400078;3723;89783;228;5191;398.0;228.0;135.0;213.0;167.0;111.0;541.0;228.0
