Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;13580;845;0;309296;5147;66715;304;3965;433.0;304.0;174.0;229.0;212.0;122.0;765.0;304.0
2024;1135567;14539;1246;0;315832;4410;67755;317;4037;383.0;317.0;175.0;220.0;192.0;113.0;721.0;317.0
2025;1148860;14355;2036;0;321259;4172;69551;283;4019;352.0;283.0;141.0;222.0;171.0;101.0;730.0;283.0
2026;1161179;12515;2947;0;326569;4045;70657;287;4049;318.0;287.0;164.0;179.0;161.0;101.0;812.0;287.0
2027;1170747;14044;4087;0;331596;3956;71383;269;4145;256.0;269.0;143.0;154.0;138.0;90.0;515.0;269.0
2028;1180704;14217;5065;0;336517;3978;72326;289;4323;291.0;289.0;150.0;179.0;145.0;106.0;575.0;289.0
2029;1189856;13472;5891;0;341991;3920;74505;293;4345;261.0;293.0;158.0;169.0;144.0;83.0;681.0;293.0
2030;1197437;13632;6553;0;347652;3918;75971;294;4501;291.0;294.0;154.0;181.0;166.0;84.0;720.0;294.0
2031;1204516;13203;6900;0;353189;3856;76918;260;4498;313.0;260.0;146.0;177.0;158.0;92.0;607.0;260.0
2032;1210819;15173;7223;0;357149;3801;78233;288;4588;323.0;288.0;152.0;187.0;170.0;102.0;649.0;288.0
2033;1218769;14506;7748;0;360488;3749;79031;250;4692;300.0;250.0;134.0;182.0;147.0;87.0;521.0;250.0
2034;1225527;14776;8244;0;363656;3728;79531;255;4621;319.0;255.0;126.0;174.0;171.0;103.0;612.0;255.0
2035;1232059;12928;9208;0;366803;3728;80300;279;4716;298.0;279.0;131.0;193.0;164.0;89.0;484.0;279.0
2036;1235779;14477;9970;0;370354;3725;81826;309;4725;338.0;309.0;171.0;191.0;182.0;103.0;697.0;309.0
2037;1240286;14589;10695;0;374509;3605;82650;281;4886;325.0;281.0;153.0;200.0;169.0;84.0;651.0;281.0
2038;1244180;13832;11369;0;379142;3558;83545;295;4936;335.0;295.0;150.0;202.0;177.0;101.0;609.0;295.0
2039;1246643;15113;12033;0;384442;3523;84888;287;5001;339.0;287.0;156.0;189.0;187.0;94.0;592.0;287.0
2040;1249723;14617;12547;0;389711;3508;86107;294;5032;334.0;294.0;147.0;206.0;177.0;98.0;646.0;294.0
2041;1251793;13301;12635;0;395066;3513;86548;304;5059;324.0;304.0;151.0;198.0;195.0;84.0;747.0;304.0
2042;1252459;14611;13464;0;400265;3477;87746;290;5066;317.0;290.0;155.0;180.0;175.0;97.0;599.0;290.0
2043;1253606;13580;13557;0;405697;3446;88762;312;5280;331.0;312.0;158.0;220.0;181.0;84.0;683.0;312.0
2044;1253629;13348;14007;0;411031;3402;90556;345;5370;361.0;345.0;194.0;219.0;195.0;98.0;814.0;345.0
2045;1252970;13390;14168;0;416354;3314;90526;290;5292;364.0;290.0;159.0;201.0;183.0;111.0;583.0;290.0
2046;1252192;12958;14740;0;421289;3223;91492;288;5286;316.0;288.0;157.0;177.0;187.0;83.0;726.0;288.0
2047;1250410;15138;15201;0;425126;3254;92794;314;5307;323.0;314.0;173.0;184.0;185.0;95.0;807.0;314.0
2048;1250347;13222;15272;0;429406;3218;94548;320;5597;333.0;320.0;170.0;192.0;186.0;105.0;583.0;320.0
2049;1248297;13659;15513;0;432941;3198;93885;311;5343;375.0;311.0;151.0;247.0;205.0;83.0;733.0;311.0
2050;1246443;14828;15619;0;436862;3187;94104;324;5472;329.0;324.0;178.0;193.0;184.0;98.0;767.0;324.0
2051;1245652;13717;15624;0;440752;3177;95775;340;5621;364.0;340.0;159.0;219.0;216.0;110.0;691.0;340.0
2052;1243745;14532;15380;0;444242;3141;96560;314;5473;349.0;314.0;160.0;201.0;199.0;103.0;718.0;314.0
2053;1242897;13954;15212;0;447153;3116;96283;295;5599;347.0;295.0;166.0;206.0;175.0;95.0;707.0;295.0
2054;1241639;14688;14933;0;448897;3136;96491;364;5595;385.0;364.0;204.0;225.0;212.0;108.0;867.0;364.0
2055;1241394;13376;14393;0;450023;3067;97945;320;5758;413.0;320.0;166.0;224.0;216.0;127.0;682.0;320.0
2056;1240377;13644;14157;0;450780;3006;98517;349;5712;367.0;349.0;208.0;208.0;183.0;117.0;959.0;349.0
2057;1239864;12712;14248;0;450889;2967;98260;337;5863;343.0;337.0;171.0;198.0;191.0;120.0;659.0;337.0
2058;1238328;13187;14259;0;452341;2988;97980;342;5820;361.0;342.0;209.0;200.0;187.0;107.0;801.0;342.0
2059;1237256;14663;14229;0;453855;2950;99302;336;5707;410.0;336.0;186.0;236.0;204.0;120.0;678.0;336.0
2060;1237690;14619;14189;0;454701;2869;98931;354;5700;371.0;354.0;186.0;218.0;207.0;114.0;733.0;354.0
2061;1238120;14411;14589;0;455545;2837;99083;337;5744;355.0;337.0;180.0;199.0;211.0;102.0;798.0;337.0
2062;1237942;14687;14875;0;454849;2840;99099;339;5842;383.0;339.0;174.0;238.0;184.0;126.0;725.0;339.0
2063;1237754;13495;15201;0;453246;2811;99412;359;5850;378.0;359.0;193.0;229.0;201.0;114.0;818.0;359.0
2064;1236048;13870;15601;0;450943;2737;98969;319;5898;379.0;319.0;169.0;227.0;196.0;106.0;681.0;319.0
2065;1234317;14542;16062;0;447501;2751;98842;367;5833;359.0;367.0;187.0;236.0;201.0;102.0;735.0;367.0
2066;1232797;12612;16180;0;443657;2710;97282;345;5799;353.0;345.0;169.0;233.0;206.0;90.0;714.0;345.0
2067;1229229;14570;16232;0;440984;2699;96342;339;5653;379.0;339.0;188.0;218.0;200.0;112.0;727.0;339.0
2068;1227567;12560;16466;0;438700;2701;96669;340;5717;375.0;340.0;190.0;221.0;186.0;118.0;793.0;340.0
2069;1223661;13695;16666;0;434501;2722;96777;342;5821;377.0;342.0;181.0;220.0;211.0;107.0;681.0;342.0
2070;1220690;13054;16778;0;429631;2655;93929;351;5475;360.0;351.0;184.0;194.0;223.0;110.0;698.0;351.0
2071;1216966;14779;16975;0;425621;2644;92129;323;5385;365.0;323.0;176.0;220.0;190.0;102.0;681.0;323.0
2072;1214770;15277;17035;0;420019;2586;92727;319;5426;420.0;319.0;175.0;240.0;209.0;115.0;746.0;319.0
2073;1213012;14938;17260;0;415735;2466;92137;323;5412;396.0;323.0;174.0;238.0;187.0;120.0;726.0;323.0
2074;1210690;13597;17276;0;411958;2410;90247;291;5220;392.0;291.0;150.0;242.0;187.0;104.0;633.0;291.0
2075;1207011;12470;17653;0;408924;2348;88628;303;5224;361.0;303.0;155.0;194.0;221.0;94.0;632.0;303.0
2076;1201828;14397;17717;0;404846;2365;89869;298;5178;332.0;298.0;145.0;210.0;180.0;95.0;685.0;298.0
2077;1198508;12925;17614;0;401872;2439;87967;327;5148;346.0;327.0;163.0;220.0;192.0;98.0;577.0;327.0
2078;1193819;14975;17924;0;399287;2422;87262;313;5113;361.0;313.0;172.0;207.0;194.0;101.0;635.0;313.0
2079;1190870;13751;17605;0;396519;2408;85800;265;4970;355.0;265.0;138.0;236.0;160.0;86.0;501.0;265.0
2080;1187016;13992;17588;0;394679;2419;87133;288;5116;343.0;288.0;162.0;211.0;160.0;98.0;695.0;288.0
2081;1183420;14090;17460;0;392039;2466;85911;277;5067;411.0;277.0;152.0;226.0;213.0;97.0;653.0;277.0
2082;1180050;12679;17299;0;390233;2420;84933;281;5053;356.0;281.0;151.0;208.0;173.0;105.0;671.0;281.0
2083;1175430;13104;17038;0;387989;2425;84871;329;5022;361.0;329.0;187.0;239.0;176.0;88.0;688.0;329.0
2084;1171496;14932;17078;0;384315;2374;85955;287;4981;357.0;287.0;144.0;217.0;189.0;94.0;487.0;287.0
2085;1169350;14318;16632;0;380211;2412;83694;297;4901;374.0;297.0;157.0;222.0;185.0;107.0;702.0;297.0
2086;1167036;14921;16644;0;376986;2368;82210;283;4793;361.0;283.0;160.0;208.0;164.0;112.0;624.0;283.0
2087;1165313;14440;16319;0;373967;2349;81938;278;4791;355.0;278.0;165.0;213.0;178.0;77.0;690.0;278.0
2088;1163434;13695;16017;0;371532;2340;83478;301;4882;330.0;301.0;178.0;192.0;172.0;89.0;720.0;301.0
2089;1161112;13788;15943;0;368939;2308;81325;272;4740;366.0;272.0;165.0;205.0;174.0;94.0;645.0;272.0
2090;1158957;13138;16190;0;366441;2294;79634;286;4525;384.0;286.0;157.0;203.0;192.0;118.0;623.0;286.0
2091;1155905;13257;15753;0;364289;2252;80346;256;4663;323.0;256.0;128.0;171.0;172.0;108.0;508.0;256.0
2092;1153409;13254;15674;0;363104;2299;81121;271;4712;378.0;271.0;154.0;219.0;179.0;97.0;681.0;271.0
