Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;138094;8691;287;279;290;133;2195;3151;3355;6040;989;14741;19210;810.0;3659.0;1362.0;986.0;1053.0;1279.0;556.0
2024;141658;8994;317;242;249;123;2424;2733;2880;5586;931;13623;18241;831.0;3787.0;1382.0;963.0;1027.0;1285.0;596.0
2025;144957;8879;184;176;151;84;1407;1988;1747;3815;595;8957;13545;850.0;3738.0;810.0;566.0;621.0;758.0;345.0
2026;147747;8962;178;148;149;85;1361;1671;1724;3860;560;8616;13256;867.0;3773.0;764.0;520.0;567.0;704.0;322.0
2027;150838;9115;174;142;147;75;1331;1604;1700;3406;538;8041;12763;885.0;3837.0;687.0;455.0;499.0;631.0;331.0
2028;153605;9417;170;159;145;83;1300;1796;1677;3769;557;8542;13408;901.0;3965.0;818.0;562.0;604.0;764.0;335.0
2029;156768;9534;165;145;144;72;1262;1638;1666;3270;526;7836;12769;919.0;4014.0;732.0;520.0;554.0;680.0;317.0
2030;159900;9660;186;161;174;84;1422;1818;2013;3815;605;9068;14073;938.0;4067.0;789.0;537.0;584.0;731.0;364.0
2031;163731;9908;179;171;169;85;1369;1931;1955;3860;604;9115;14246;960.0;4171.0;740.0;501.0;533.0;683.0;338.0
2032;167093;10220;175;171;180;85;1338;1931;2082;3860;611;9211;14494;980.0;4303.0;799.0;552.0;593.0;732.0;350.0
2033;170101;10314;170;187;140;81;1300;2112;1619;3679;578;8710;14050;998.0;4342.0;677.0;474.0;517.0;639.0;330.0
2034;172688;10482;175;168;169;94;1338;1897;1955;4269;606;9459;14885;1013.0;4413.0;777.0;538.0;582.0;719.0;343.0
2035;175410;10683;152;175;164;80;1162;1976;1897;3633;571;8668;14195;1029.0;4498.0;581.0;383.0;422.0;537.0;337.0
2036;178136;10776;191;167;173;94;1461;1886;2001;4269;625;9617;15199;1045.0;4537.0;766.0;526.0;571.0;708.0;359.0
2037;180627;11173;171;175;172;77;1308;1976;1990;3497;595;8771;14534;1059.0;4704.0;709.0;477.0;515.0;646.0;330.0
2038;183751;11190;197;184;178;86;1507;2078;2059;3906;645;9550;15339;1078.0;4711.0;856.0;588.0;661.0;801.0;375.0
2039;186531;11379;203;171;196;91;1552;1931;2267;4133;661;9883;15768;1094.0;4791.0;834.0;580.0;621.0;770.0;385.0
2040;189454;11606;183;183;199;95;1399;2067;2302;4314;660;10082;16079;1111.0;4886.0;670.0;459.0;507.0;623.0;395.0
2041;191621;11747;202;175;191;82;1545;1976;2209;3724;650;9454;15524;1124.0;4946.0;910.0;640.0;690.0;847.0;406.0
2042;194073;11558;210;164;165;82;1606;1852;1909;3724;621;9091;15095;1138.0;4866.0;885.0;617.0;650.0;813.0;382.0
2043;195616;11898;179;189;200;73;1369;2134;2313;3315;641;9131;15287;1147.0;5009.0;782.0;551.0;598.0;737.0;390.0
2044;197916;12037;222;190;190;79;1698;2146;2198;3588;681;9630;15859;1161.0;5068.0;894.0;621.0;670.0;831.0;405.0
2045;198787;12008;187;180;181;93;1430;2033;2094;4224;641;9781;16002;1166.0;5055.0;786.0;554.0;597.0;728.0;370.0
2046;201179;12083;200;155;196;75;1529;1750;2267;3406;626;8952;15219;1180.0;5087.0;898.0;616.0;682.0;842.0;385.0
2047;201860;11988;203;168;190;86;1552;1897;2198;3906;647;9553;15784;1184.0;5047.0;947.0;667.0;700.0;877.0;404.0
2048;204219;12414;180;167;198;105;1377;1886;2290;4768;650;10321;16745;1198.0;5226.0;624.0;430.0;472.0;585.0;388.0
2049;204750;12181;208;208;221;66;1591;2349;2556;2997;703;9493;15822;1201.0;5128.0;890.0;620.0;680.0;822.0;413.0
2050;206462;12492;218;185;196;82;1667;2089;2267;3724;681;9747;16217;1211.0;5259.0;951.0;672.0;708.0;878.0;427.0
2051;207304;12524;178;178;198;98;1361;2010;2290;4451;652;10112;16601;1216.0;5273.0;780.0;557.0;592.0;735.0;388.0
2052;208582;12517;213;168;209;95;1629;1897;2418;4314;685;10258;16751;1223.0;5270.0;982.0;706.0;744.0;916.0;410.0
2053;209248;12522;187;176;194;85;1430;1988;2244;3860;642;9522;16021;1227.0;5272.0;758.0;515.0;587.0;717.0;375.0
2054;210112;12629;234;195;189;90;1789;2202;2186;4087;708;10264;16813;1232.0;5317.0;986.0;676.0;740.0;915.0;419.0
2055;210766;12905;216;182;228;106;1652;2055;2637;4814;732;11158;17827;1236.0;5433.0;965.0;685.0;727.0;903.0;427.0
2056;211372;12773;245;182;170;107;1874;2055;1966;4859;704;10754;17371;1240.0;5377.0;1014.0;694.0;739.0;936.0;416.0
2057;212806;13067;263;187;196;98;2011;2112;2267;4451;744;10841;17590;1248.0;5501.0;1025.0;693.0;770.0;960.0;472.0
2058;213656;13052;244;179;208;95;1866;2021;2406;4314;726;10607;17355;1253.0;5495.0;1037.0;727.0;776.0;956.0;435.0
2059;215710;13068;221;218;210;92;1690;2462;2429;4178;741;10759;17526;1265.0;5502.0;913.0;643.0;679.0;848.0;419.0
