Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;31438;1942;72;210;154;113;551;2372;1781;5132;549;9836;10838;184.0;818.0;327.0;244.0;248.0;304.0;116.0
2024;31909;2091;91;205;155;113;696;2315;1793;5132;564;9936;11003;187.0;880.0;472.0;347.0;350.0;438.0;143.0
2025;32802;1977;54;204;123;97;413;2304;1423;4405;478;8545;9569;192.0;832.0;193.0;136.0;153.0;185.0;71.0
2026;32951;1963;52;200;139;109;398;2259;1608;4950;500;9215;10234;193.0;826.0;194.0;132.0;145.0;182.0;68.0
2027;33908;2060;55;199;125;107;421;2247;1446;4859;486;8973;10039;199.0;867.0;178.0;123.0;120.0;155.0;91.0
2028;33920;2124;48;230;143;111;367;2597;1654;5041;532;9659;10752;199.0;894.0;164.0;118.0;126.0;155.0;74.0
2029;34804;2088;61;235;131;109;466;2654;1515;4950;536;9585;10668;204.0;879.0;198.0;147.0;156.0;186.0;84.0
2030;34993;2168;58;245;156;107;444;2767;1805;4859;566;9875;10993;205.0;913.0;174.0;116.0;120.0;159.0;84.0
2031;35969;2186;55;245;170;126;421;2767;1966;5722;596;10876;12007;211.0;920.0;184.0;134.0;138.0;173.0;82.0
2032;35986;2187;60;245;159;137;459;2767;1839;6222;601;11287;12419;211.0;921.0;262.0;189.0;197.0;240.0;79.0
2033;36749;2273;55;253;138;121;421;2857;1596;5495;567;10369;11542;216.0;957.0;183.0;125.0;132.0;167.0;69.0
2034;36709;2250;50;231;178;129;382;2609;2059;5858;588;10908;12070;215.0;947.0;133.0;88.0;102.0;123.0;71.0
2035;37360;2299;44;266;148;115;336;3004;1712;5223;573;10275;11462;219.0;968.0;122.0;74.0;91.0;113.0;79.0
2036;37335;2230;75;234;164;125;574;2643;1897;5677;598;10791;11949;219.0;939.0;200.0;133.0;150.0;190.0;80.0
2037;38020;2355;67;255;151;120;512;2880;1747;5450;593;10589;11803;223.0;991.0;183.0;125.0;135.0;171.0;77.0
2038;38171;2301;65;261;168;130;497;2948;1943;5904;624;11292;12485;224.0;969.0;216.0;153.0;164.0;200.0;101.0
2039;39098;2347;62;262;175;122;474;2959;2024;5541;621;10998;12215;229.0;988.0;180.0;117.0;123.0;163.0;87.0
2040;39219;2362;52;273;165;134;398;3083;1909;6085;624;11475;12699;230.0;994.0;177.0;125.0;130.0;165.0;90.0
2041;40028;2455;60;287;150;129;459;3241;1735;5858;626;11293;12562;235.0;1034.0;237.0;175.0;175.0;216.0;85.0
2042;40366;2399;61;245;146;131;466;2767;1689;5949;583;10871;12118;237.0;1010.0;183.0;132.0;143.0;170.0;75.0
2043;40995;2514;59;283;181;120;451;3196;2094;5450;643;11191;12489;240.0;1058.0;185.0;127.0;134.0;167.0;93.0
2044;41485;2501;67;280;176;139;512;3162;2036;6313;662;12023;13319;243.0;1053.0;139.0;89.0;98.0;129.0;83.0
2045;42059;2595;71;268;177;141;543;3027;2047;6403;657;12020;13360;247.0;1093.0;203.0;144.0;152.0;184.0;79.0
2046;42518;2537;65;263;191;131;497;2970;2209;5949;650;11625;12942;249.0;1068.0;212.0;152.0;158.0;199.0;78.0
2047;43014;2568;80;247;190;131;612;2789;2198;5949;648;11548;12881;252.0;1081.0;327.0;225.0;232.0;296.0;107.0
2048;43279;2711;58;273;183;143;444;3083;2117;6494;657;12138;13533;254.0;1141.0;145.0;96.0;104.0;134.0;95.0
2049;43914;2624;71;316;181;119;543;3569;2094;5404;687;11610;12973;258.0;1105.0;272.0;193.0;205.0;252.0;96.0
2050;44176;2715;74;263;165;127;566;2970;1909;5768;629;11213;12615;259.0;1143.0;261.0;189.0;184.0;236.0;107.0
2051;44705;2674;54;276;179;149;413;3117;2071;6767;658;12368;13756;262.0;1126.0;146.0;103.0;111.0;136.0;77.0
2052;44896;2615;60;264;192;132;459;2981;2221;5995;648;11656;13020;263.0;1101.0;189.0;139.0;148.0;178.0;82.0
2053;45479;2775;63;284;173;139;482;3207;2001;6313;659;12003;13438;267.0;1168.0;204.0;141.0;153.0;190.0;88.0
2054;45416;2664;75;283;201;151;574;3196;2325;6858;710;12953;14341;266.0;1122.0;236.0;166.0;183.0;221.0;85.0
2055;45848;2797;77;277;197;173;589;3128;2279;7857;724;13853;15300;269.0;1178.0;222.0;161.0;172.0;207.0;100.0
2056;45573;2643;76;287;195;157;581;3241;2256;7130;715;13208;14588;267.0;1113.0;265.0;187.0;200.0;248.0;99.0
2057;45857;2849;75;263;196;145;574;2970;2267;6585;679;12396;13864;269.0;1199.0;229.0;154.0;179.0;218.0;106.0
2058;45619;2797;85;301;187;150;650;3399;2163;6812;723;13024;14470;268.0;1178.0;256.0;178.0;191.0;235.0;97.0
2059;46222;2778;67;315;213;159;512;3557;2464;7221;754;13754;15195;271.0;1170.0;195.0;145.0;146.0;178.0;96.0
2060;45852;2772;65;285;205;141;497;3219;2371;6403;696;12490;13926;269.0;1167.0;217.0;142.0;155.0;201.0;105.0
2061;46370;2793;72;300;209;135;551;3388;2418;6131;716;12488;13936;272.0;1176.0;219.0;154.0;170.0;205.0;106.0
2062;45933;2838;68;302;194;166;520;3411;2244;7539;730;13714;15178;269.0;1195.0;230.0;165.0;172.0;208.0;97.0
2063;46064;2768;70;306;191;145;535;3456;2209;6585;712;12785;14220;270.0;1165.0;244.0;176.0;186.0;226.0;98.0
2064;45599;2806;71;306;192;141;543;3456;2221;6403;710;12623;14071;267.0;1181.0;236.0;165.0;178.0;218.0;87.0
2065;45552;2794;78;322;189;146;596;3636;2186;6630;735;13048;14491;267.0;1176.0;230.0;160.0;169.0;211.0;108.0
2066;45031;2798;64;285;200;149;489;3219;2313;6767;698;12788;14230;264.0;1178.0;135.0;89.0;98.0;126.0;84.0
2067;44696;2747;73;306;203;134;558;3456;2348;6085;716;12447;13866;262.0;1157.0;167.0;108.0;118.0;153.0;101.0
2068;44449;2733;70;298;196;153;535;3365;2267;6948;717;13115;14527;261.0;1151.0;215.0;156.0;157.0;194.0;98.0
2069;44345;2697;60;336;208;151;459;3795;2406;6858;755;13518;14913;260.0;1135.0;227.0;164.0;181.0;217.0;99.0
2070;43741;2586;64;276;195;136;489;3117;2256;6176;671;12038;13384;257.0;1089.0;175.0;123.0;128.0;162.0;73.0
2071;43453;2628;87;304;176;159;665;3433;2036;7221;726;13355;14716;255.0;1106.0;228.0;161.0;169.0;213.0;91.0
2072;43093;2537;55;304;218;155;421;3433;2522;7039;732;13415;14736;253.0;1068.0;139.0;89.0;104.0;128.0;90.0
2073;42416;2623;64;323;197;150;489;3648;2279;6812;734;13228;14581;249.0;1104.0;198.0;138.0;146.0;184.0;93.0
2074;42365;2505;74;327;163;151;566;3693;1885;6858;715;13002;14305;248.0;1055.0;174.0;119.0;127.0;162.0;89.0
2075;41604;2530;56;283;209;143;428;3196;2418;6494;691;12536;13845;244.0;1065.0;156.0;117.0;119.0;147.0;86.0
2076;41566;2487;58;276;181;122;444;3117;2094;5541;637;11196;12487;244.0;1047.0;177.0;126.0;136.0;167.0;88.0
2077;40965;2466;60;278;171;141;459;3140;1978;6403;650;11980;13258;240.0;1038.0;114.0;73.0;88.0;110.0;81.0
2078;41214;2511;62;280;178;138;474;3162;2059;6267;658;11962;13261;242.0;1057.0;187.0;131.0;142.0;175.0;80.0
2079;40466;2392;67;283;179;124;512;3196;2071;5631;653;11410;12654;237.0;1007.0;149.0;100.0;106.0;137.0;78.0
2080;40895;2546;74;299;171;140;566;3377;1978;6358;684;12279;13591;240.0;1072.0;218.0;154.0;157.0;201.0;85.0
2081;40052;2451;75;291;216;133;574;3286;2499;6040;715;12399;13666;235.0;1032.0;168.0;110.0;121.0;156.0;90.0
2082;40509;2501;89;283;176;142;681;3196;2036;6449;690;12362;13653;238.0;1053.0;240.0;162.0;176.0;222.0;96.0
2083;39951;2468;65;299;178;113;497;3377;2059;5132;655;11065;12338;234.0;1039.0;168.0;115.0;125.0;152.0;81.0
2084;39922;2380;62;284;180;127;474;3207;2082;5768;653;11531;12767;234.0;1002.0;195.0;150.0;153.0;185.0;78.0
2085;39233;2374;56;302;184;145;428;3411;2128;6585;687;12552;13781;230.0;999.0;151.0;103.0;110.0;141.0;71.0
2086;39364;2367;65;271;152;143;497;3060;1758;6494;631;11809;13037;231.0;997.0;195.0;138.0;152.0;182.0;79.0
2087;38653;2357;74;274;161;130;566;3094;1862;5904;639;11426;12645;227.0;992.0;227.0;154.0;165.0;210.0;74.0
2088;38750;2331;74;276;182;118;566;3117;2105;5359;650;11147;12355;227.0;981.0;200.0;126.0;149.0;188.0;80.0
2089;38351;2304;66;276;183;129;505;3117;2117;5858;654;11597;12792;225.0;970.0;164.0;101.0;123.0;157.0;89.0
2090;38006;2211;57;280;183;132;436;3162;2117;5995;652;11710;12864;223.0;931.0;169.0;124.0;128.0;155.0;68.0
2091;37878;2303;61;240;166;141;466;2710;1920;6403;608;11499;12691;222.0;970.0;125.0;85.0;101.0;121.0;69.0
2092;37479;2230;64;286;178;116;489;3230;2059;5268;644;11046;12205;220.0;939.0;154.0;100.0;107.0;143.0;79.0
2093;37785;2279;54;254;162;138;413;2868;1874;6267;608;11422;12603;222.0;959.0;217.0;153.0;160.0;201.0;76.0
2094;36985;2228;57;262;157;122;436;2959;1816;5541;598;10752;11907;217.0;938.0;173.0;120.0;133.0;164.0;64.0
2095;37118;2305;63;260;199;131;482;2936;2302;5949;653;11669;12857;218.0;970.0;171.0;116.0;131.0;164.0;77.0
2096;36710;2305;51;286;170;113;390;3230;1966;5132;620;10718;11903;215.0;970.0;119.0;79.0;95.0;112.0;58.0
2097;37104;2184;58;261;172;123;444;2948;1990;5586;614;10968;12105;218.0;919.0;181.0;118.0;133.0;164.0;73.0
2098;36458;2139;49;261;167;137;375;2948;1932;6222;614;11477;12592;214.0;901.0;119.0;83.0;94.0;113.0;77.0
2099;37098;2260;62;259;193;135;474;2925;2233;6131;649;11763;12932;218.0;951.0;160.0;117.0;123.0;152.0;80.0
2100;36631;2123;65;261;169;132;497;2948;1955;5995;627;11395;12504;215.0;894.0;128.0;82.0;91.0;121.0;69.0
2101;37214;2187;49;299;185;131;375;3377;2140;5949;664;11841;12980;218.0;921.0;114.0;78.0;86.0;109.0;72.0
2102;36556;2143;66;249;164;132;505;2812;1897;5995;611;11209;12325;214.0;902.0;185.0;120.0;134.0;167.0;76.0
2103;37077;2179;67;255;165;129;512;2880;1909;5858;616;11159;12293;217.0;917.0;175.0;119.0;127.0;160.0;86.0
2104;36342;2158;46;265;161;117;352;2993;1862;5313;589;10520;11642;213.0;909.0;177.0;123.0;128.0;162.0;69.0
2105;36913;2262;52;246;156;138;398;2778;1805;6267;592;11248;12416;216.0;952.0;102.0;60.0;76.0;91.0;70.0
2106;36150;2172;54;289;177;109;413;3264;2047;4950;629;10674;11800;212.0;914.0;198.0;135.0;146.0;183.0;82.0
2107;36946;2327;66;251;160;134;505;2835;1851;6085;611;11276;12473;217.0;980.0;184.0;118.0;133.0;173.0;91.0
2108;36083;2180;67;244;167;125;512;2756;1932;5677;603;10877;12007;212.0;918.0;138.0;95.0;106.0;130.0;76.0
2109;36785;2215;60;278;155;108;459;3140;1793;4905;601;10297;11446;216.0;933.0;138.0;90.0;96.0;126.0;69.0
2110;36081;2158;58;230;166;114;444;2597;1920;5177;568;10138;11259;212.0;909.0;161.0;106.0;115.0;146.0;64.0
2111;36657;2247;53;249;145;123;405;2812;1677;5586;570;10480;11641;215.0;946.0;164.0;115.0;121.0;152.0;69.0
2112;36005;2204;60;254;154;138;459;2868;1781;6267;606;11375;12514;211.0;928.0;149.0;103.0;108.0;135.0;76.0
