Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;12851;822;0;309304;5157;13007;44;772;433.0;44.0;39.0;196.0;132.0;110.0;85.0;44.0
2024;1134861;14033;1187;0;315843;4680;13433;58;864;432.0;58.0;44.0;197.0;135.0;114.0;161.0;58.0
2025;1147707;13671;2171;0;321269;4670;14170;38;803;444.0;38.0;36.0;214.0;126.0;106.0;87.0;38.0
2026;1159207;13792;3023;0;326578;4690;14420;41;847;461.0;41.0;33.0;208.0;139.0;122.0;120.0;41.0
2027;1169976;13911;4020;0;331604;4702;15184;44;923;426.0;44.0;39.0;205.0;114.0;112.0;113.0;44.0
2028;1179867;13101;4917;0;336519;4773;15215;35;922;486.0;35.0;33.0;241.0;134.0;113.0;104.0;35.0
2029;1188051;13960;5770;0;342000;4787;15788;38;903;484.0;38.0;44.0;238.0;128.0;112.0;77.0;38.0
2030;1196241;13963;6511;0;347662;4804;15678;34;916;512.0;34.0;36.0;246.0;150.0;114.0;67.0;34.0
2031;1203693;13866;6927;0;353216;4800;16386;42;922;549.0;42.0;34.0;253.0;170.0;134.0;32.0;42.0
2032;1210632;15273;7314;0;357131;4735;16135;42;971;573.0;42.0;43.0;257.0;166.0;149.0;109.0;42.0
2033;1218591;14635;7741;0;360472;4665;16657;35;1041;539.0;35.0;40.0;257.0;141.0;136.0;62.0;35.0
2034;1225485;13425;8414;0;363612;4614;16374;49;963;560.0;49.0;45.0;241.0;187.0;136.0;123.0;49.0
2035;1230496;14173;9197;0;366769;4593;16791;43;991;531.0;43.0;31.0;280.0;143.0;120.0;70.0;43.0
2036;1235472;13648;9979;0;370293;4559;16313;46;952;556.0;46.0;52.0;248.0;168.0;134.0;139.0;46.0
2037;1239141;14172;10958;0;374410;4518;16601;37;1011;553.0;37.0;50.0;264.0;151.0;125.0;77.0;37.0
2038;1242355;13783;11486;0;379069;4489;16198;46;928;555.0;46.0;41.0;270.0;161.0;129.0;122.0;46.0
2039;1244652;13742;12154;0;384353;4482;16432;39;957;585.0;39.0;44.0;280.0;169.0;131.0;99.0;39.0
2040;1246240;13768;12756;0;389562;4458;16334;44;935;564.0;44.0;34.0;282.0;157.0;135.0;78.0;44.0
2041;1247252;12865;12880;0;394895;4469;16566;35;997;581.0;35.0;35.0;289.0;155.0;137.0;86.0;35.0
2042;1247237;14482;13210;0;400088;4441;16578;38;905;560.0;38.0;44.0;271.0;144.0;139.0;56.0;38.0
